CELL.TYPE	OC_POP	N	NUM_MANUAL_POPS_ZEROED_OUT	PEARSON	SPEARMAN	MEDIAN_OC_FREQ	MEDIAN_MANUAL_FREQ	MEAN_OC_FREQ	MEAN_MANUAL_FREQ	SD_OC_FREQ	SD_MANUAL_FREQ	FILTER
Naive B cells	naive Bcells (CD27- IgD+)	770	0	0.915425090398255	0.93680695371936	68.5691742465303	70	65.8008489598771	67.2419480519481	17.5400416492154	16.2256501601087	All P1-P2 matched samples  without abnormal/bad/manual annotations
T cells	Tcells (CD3+ CD19-)	770	0	0.987841799141609	0.985532384897763	72.20285283679	69.6	69.9342820211264	67.4255844155844	13.3789934459371	12.9686290480117	All P1-P2 matched samples  without abnormal/bad/manual annotations
Cytotoxic T cells	cytotoxic Tcells-CD8+	770	0	0.990720396136858	0.988434912369911	24.1671563250473	24.5	26.7675256093982	26.9387012987013	13.5183136783263	13.5948130694911	All P1-P2 matched samples  without abnormal/bad/manual annotations
Activated Cytotoxic Tcells	activated cytotoxic Tcells (CD8+ HLA-DR+)	770	0	0.103311479686298	0.204070683361465	5.00170853676393	2.3	5.0030013961409	3.33012987012987	0.00614216230543335	3.11423197841161	All P1-P2 matched samples  without abnormal/bad/manual annotations
Central Memory cytotoxic T cells	central memory cytotoxic Tcells (CCR7+ , CD45RA-)	770	0	0.607002277730285	0.577168096045943	11.0463095496641	7.7	15.6423142618115	13.6051948051948	13.5155507492372	14.7483520148239	All P1-P2 matched samples  without abnormal/bad/manual annotations
Effector (E) cytotoxic T cells	effector cytotoxic Tcells  (CCR7-  CD45RA+)	770	0	0.780086579603448	0.785883396652408	53.3107697466838	39.8	51.1925129747391	40.4027272727273	25.3631391216899	24.2938604806165	All P1-P2 matched samples  without abnormal/bad/manual annotations
pE cytotoxic T cells	pE cytotoxic Tcells (CD27-  CD28-)	770	0	0.779304564603621	0.779350255388696	55.364373667611	69.65	51.8471796927945	62.2822077922078	26.7795423615497	23.445292718283	All P1-P2 matched samples  without abnormal/bad/manual annotations
pE1 cytotoxic T cells	pE1 cytotoxic Tcells (CD27+  CD28+)	770	0	0.722658686067714	0.727579456405995	15.752475573906	11.3	21.2710764386331	14.9862337662338	17.7718950218437	13.0107604799942	All P1-P2 matched samples  without abnormal/bad/manual annotations
pE2 cytotoxic T cells	pE2 cytotoxic Tcells (CD27+ , CD28-)	770	0	0.747278098532575	0.774523325252753	12.0766882492711	15	16.3392449285619	19.8171428571429	14.1035739219159	15.679661136663	All P1-P2 matched samples  without abnormal/bad/manual annotations
Effector Memory (EM) Cytotoxic T cells	effector memory cytotoxic Tcells (CCR7- , CD45RA-)	770	0	0.477436092375063	0.503387715733646	8.74009275674628	21.6	13.4314990605492	24.6522077922078	12.8135938662606	16.3135388277806	All P1-P2 matched samples  without abnormal/bad/manual annotations
EM1 cytotoxic T cells	EM1 cytotoxic Tcells (CD27+  CD28+)	770	0	0.785500265223507	0.769335599481284	59.8212622773488	55.6	55.5018912783129	52.5877922077922	23.3771468535158	17.9644869021544	All P1-P2 matched samples  without abnormal/bad/manual annotations
EM2 cytotoxic T cells	EM2 cytotoxic Tcells (CD27+  CD28-)	770	0	0.764518116150454	0.706126013722188	5.84500150557061	8.7	9.44161530616574	10.9961038961039	10.1529291420174	8.79817248961066	All P1-P2 matched samples  without abnormal/bad/manual annotations
EM3 cytotoxic T cells	EM3 cytotoxic Tcells (CD27-  CD28-)	770	0	0.790041897465703	0.769090535181563	9.71644055483282	18.45	18.7436607693237	23.4307792207792	21.6636334955086	18.0351895779097	All P1-P2 matched samples  without abnormal/bad/manual annotations
EM4 cytotoxic T cells	EM4 cytotoxic Tcells (CD27-  CD28+)	770	0	0.760715499454154	0.678865109697898	13.0060439805522	10.5	16.3128326461977	12.991038961039	13.779030275091	11.0803994149507	All P1-P2 matched samples  without abnormal/bad/manual annotations
Naïve cytotoxic T cells	naive helper Tcells (CCR7+ CD45RA+)	770	0	0.39128667754154	0.441931268724798	42.5309716860173	7.9	42.0952656582108	12.0542857142857	19.2281036659873	12.5056809383178	All P1-P2 matched samples  without abnormal/bad/manual annotations
Helper T cells	Helper Tcells-CD4+	770	0	0.992509318135557	0.991959867137869	67.8380214117861	66.8	65.6699296065637	64.5148051948052	15.1626568000562	15.2602695695461	All P1-P2 matched samples  without abnormal/bad/manual annotations
Activated helper T cells	activated helper Tcells (CD4+ HLA-DR+)	770	0	0.364611756278621	0.511895052042914	1.25059195232313	1.9	1.47582510344124	2.30428571428571	0.932730773521538	1.59412765711591	All P1-P2 matched samples  without abnormal/bad/manual annotations
Central Memory Naïve T cells	central memory helper Tcells (CCR7+ CD45RA-)	770	0	0.834743283075171	0.861877921462769	34.9231836455356	39.3	35.429401227145	41.1401298701299	14.0083888645895	16.2713982344256	All P1-P2 matched samples  without abnormal/bad/manual annotations
Effector Helper T cells	effector helper Tcells (CCR7- CD45RA+)	770	0	0.695417729294427	0.65618541634206	3.36113659245138	0.6	6.59926515057853	2.96363636363636	9.41617422200834	6.01129429169416	All P1-P2 matched samples  without abnormal/bad/manual annotations
Effector memory helper T cells	effector memory helper Tcells (CCR7- CD45RA-)	770	0	0.616740311288757	0.401834689808014	13.8212495327468	4.15	15.8784347129468	7.64415584415584	9.92791241230636	10.0190727543693	All P1-P2 matched samples  without abnormal/bad/manual annotations
Naïve Helper T cells	naive helper Tcells (CD95- CD28+)	770	0	0.970561057765895	0.974219836688311	44.5580714333977	37.95	43.4696073812853	37.6623376623377	19.8847496088759	17.6030293450448	All P1-P2 matched samples  without abnormal/bad/manual annotations
Dendritic cells, Natural Killer lymphocytes, monocytes 	DC NK MONOCYTES (CD3- CD19-)	770	0	0.985587415696573	0.981811318275087	26.4582165561738	26.45	28.568819757016	28.2923376623377	12.1931003587399	11.6332001458567	All P1-P2 matched samples  without abnormal/bad/manual annotations
Dendritic cells, Natural Killer lymphocytes	DC NK (CD20- CD14-)	770	0	0.935061065434662	0.936983962250235	53.2389704840732	54.85	53.3362187827851	54.7757142857143	15.8713730133595	14.8455558256543	All P1-P2 matched samples  without abnormal/bad/manual annotations
Dendritic cells	DC (HLA-DR+)	770	0	0.89791501324958	0.936939163334557	11.805379951414	12.15	14.2280536246295	14.157012987013	10.2691498731782	9.11785478342283	All P1-P2 matched samples  without abnormal/bad/manual annotations
