BIN	MACHINE.x	MEDIAN_SAMPLE_CV	BIN_POPULATION	CV_POPULATION	PANEL	MANUSCRIPT_RANGE	REDUCTION
(5e+04,6e+04]	FORTESSA	0.0790345526760876	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(6e+04,7e+04]	FORTESSA	0.0850959815656584	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(7e+04,8e+04]	FORTESSA	0.055472992674485	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(8e+04,9e+04]	FORTESSA	0.0466574611794671	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(9e+04,1e+05]	FORTESSA	0.0272092876073626	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(1e+05,1.1e+05]	FORTESSA	0.0516854949273749	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(1.1e+05,1.2e+05]	FORTESSA	0.0464717276981387	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(1.2e+05,1.3e+05]	FORTESSA	0.0592233790985196	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(1.3e+05,1.4e+05]	FORTESSA	0.0210427600896474	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(1.4e+05,1.5e+05]	FORTESSA	0.0310595897640323	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(1.5e+05,1.6e+05]	FORTESSA	0.0337982138506889	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(1.6e+05,1.7e+05]	FORTESSA	0.0175810874191125	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(1.7e+05,1.8e+05]	FORTESSA	0.0639811600429204	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(1.8e+05,1.9e+05]	FORTESSA	0.00949552747056878	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(1.9e+05,2e+05]	FORTESSA	0.0335638012753232	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(2e+05,6e+05]	FORTESSA	0.0312684345838702	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(0,5e+03]	LSR	0.243313005605038	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(5e+03,1e+04]	LSR	0.101371062161792	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(1e+04,1.5e+04]	LSR	0.0906181548151025	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(1.5e+04,2e+04]	LSR	0.0577245038449166	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(2e+04,3e+04]	LSR	0.0660545959214286	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(3e+04,4e+04]	LSR	0.0603817401487584	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(4e+04,5e+04]	LSR	0.0455177409082704	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(5e+04,6e+04]	LSR	0.043225638458888	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(6e+04,7e+04]	LSR	0.041086432912567	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(7e+04,8e+04]	LSR	0.0355687375364407	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(8e+04,9e+04]	LSR	0.025949343941481	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(9e+04,1e+05]	LSR	0.0350020435397809	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(1e+05,1.1e+05]	LSR	0.0163328405477502	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(1.1e+05,1.2e+05]	LSR	0.0165163358628972	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(1.2e+05,1.3e+05]	LSR	0.0190083739843108	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(1.4e+05,1.5e+05]	LSR	0.017660748435557	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(1.5e+05,1.6e+05]	LSR	0.0391212746649516	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(1.7e+05,1.8e+05]	LSR	0.0194627146853083	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(1.8e+05,1.9e+05]	LSR	0.00696349093489543	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(1.9e+05,2e+05]	LSR	0.0229312277367301	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(2e+05,6e+05]	LSR	0.017334305905748	Live Single Lymphocytes	Live cells (PE-)	panel1	FALSE	NA
(0,2e+04]	FORTESSA	0.224016950414104	Live Single Lymphocytes	Live cells (PE-)	panel1	TRUE	NA
(2e+04,6e+05]	FORTESSA	0.0756584629311891	Live Single Lymphocytes	Live cells (PE-)	panel1	TRUE	0.662264561715837
(0,2e+04]	LSR	0.166955264925613	Live Single Lymphocytes	Live cells (PE-)	panel1	TRUE	NA
(2e+04,6e+05]	LSR	0.0455177409082704	Live Single Lymphocytes	Live cells (PE-)	panel1	TRUE	0.727365645350861
(0,5e+03]	FORTESSA	1.4460956371133	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(5e+03,1e+04]	FORTESSA	0.954763036673332	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(1e+04,1.5e+04]	FORTESSA	0.680397610128988	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(1.5e+04,2e+04]	FORTESSA	0.566524518504663	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(2e+04,3e+04]	FORTESSA	0.497373656860149	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(3e+04,4e+04]	FORTESSA	0.380405128280408	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(4e+04,5e+04]	FORTESSA	0.331863067703151	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(5e+04,6e+04]	FORTESSA	0.330360668569988	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(6e+04,7e+04]	FORTESSA	0.302175919969224	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(7e+04,8e+04]	FORTESSA	0.383016362471195	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(8e+04,9e+04]	FORTESSA	0.264561273331828	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(9e+04,1e+05]	FORTESSA	0.241158561992937	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(1e+05,1.1e+05]	FORTESSA	0.267920811409724	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(1.1e+05,1.2e+05]	FORTESSA	0.253083128917367	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(1.2e+05,1.3e+05]	FORTESSA	0.336443014590844	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
(1.3e+05,1.4e+05]	FORTESSA	0.279708700250441	Live Single Lymphocytes	Tcells (CD3+ CD19-)	panel1	FALSE	NA
