BIN	MACHINE.x	MEDIAN_SAMPLE_CV	BIN_POPULATION	CV_POPULATION	PANEL	MANUSCRIPT_RANGE	REDUCTION
(2e+04,6e+05]	FORTESSA	29.0011461411388	Live Single PBMCs	Non classical monocytes (CD16+ CD14+)	panel2	TRUE	0.435416053723429
(0,2e+04]	LSR	50.0728696529303	Live Single PBMCs	Non classical monocytes (CD16+ CD14+)	panel2	TRUE	NA
(2e+04,6e+05]	LSR	24.1634114962916	Live Single PBMCs	Non classical monocytes (CD16+ CD14+)	panel2	TRUE	0.517435056872607
(0,2e+04]	FORTESSA	1.83973629188526	Live Single PBMCs	Classical monocytes (CD16- CD14+)	panel2	TRUE	NA
(2e+04,6e+05]	FORTESSA	0.922384645156703	Live Single PBMCs	Classical monocytes (CD16- CD14+)	panel2	TRUE	0.498632141342664
(0,2e+04]	LSR	1.62072169354823	Live Single PBMCs	Classical monocytes (CD16- CD14+)	panel2	TRUE	NA
(2e+04,6e+05]	LSR	0.74895928751842	Live Single PBMCs	Classical monocytes (CD16- CD14+)	panel2	TRUE	0.5378853195463
(0,2e+04]	FORTESSA	4.56482117952017	Live Single PBMCs	DC NK (CD20- CD14-)	panel2	TRUE	NA
(2e+04,6e+05]	FORTESSA	2.4472899621666	Live Single PBMCs	DC NK (CD20- CD14-)	panel2	TRUE	0.46388043125408
(0,2e+04]	LSR	6.3879594321678	Live Single PBMCs	DC NK (CD20- CD14-)	panel2	TRUE	NA
(2e+04,6e+05]	LSR	4.71251626671434	Live Single PBMCs	DC NK (CD20- CD14-)	panel2	TRUE	0.262281434821963
(0,2e+04]	FORTESSA	17.1690747314512	Live Single PBMCs	DC (HLA-DR+)	panel2	TRUE	NA
(2e+04,6e+05]	FORTESSA	9.23138183247504	Live Single PBMCs	DC (HLA-DR+)	panel2	TRUE	0.46232502468147
(0,2e+04]	LSR	19.3197414163483	Live Single PBMCs	DC (HLA-DR+)	panel2	TRUE	NA
(2e+04,6e+05]	LSR	12.6760493461324	Live Single PBMCs	DC (HLA-DR+)	panel2	TRUE	0.343881003738178
(0,2e+04]	FORTESSA	11.5740212071403	Live Single PBMCs	Myeloid DC (CD11c+ CD123-)	panel2	TRUE	NA
